0: 0001a
#sift count:	1801

60: 0061a
image_size:	1920x1080
#sift count:	1772

61: 0062a
image_size:	1920x1080
#sift count:	1800

62: 0063a
image_size:	1920x1080
#sift count:	1782

63: 0064a
image_size:	1920x1080
#sift count:	1810

64: 0065a
image_size:	1920x1080
#sift count:	1804

65: 0066a
image_size:	1920x1080
#sift count:	1744

66: 0067a
image_size:	1920x1080
#sift count:	1728

67: 0068a
image_size:	1920x1080
#sift count:	1757

68: 0069a
image_size:	1920x1080
#sift count:	1709

69: 0070a
image_size:	1920x1080
#sift count:	1677

70: 0071a
image_size:	1920x1080
#sift count:	1633

71: 0072a
image_size:	1920x1080
#sift count:	1589

72: 0073a
image_size:	1920x1080
#sift count:	1559

73: 0074a
image_size:	1920x1080
#sift count:	1486

74: 0075a
image_size:	1920x1080
#sift count:	1464

75: 0076a
image_size:	1920x1080
#sift count:	1466

76: 0077a
image_size:	1920x1080
#sift count:	1483

77: 0078a
image_size:	1920x1080
#sift count:	1507

78: 0079a
image_size:	1920x1080
#sift count:	1582

79: 0080a
image_size:	1920x1080
#sift count:	1695

80: 0081a
image_size:	1920x1080
#sift count:	1720

81: 0082a
image_size:	1920x1080
#sift count:	1769

82: 0083a
image_size:	1920x1080
#sift count:	1795

83: 0084a
image_size:	1920x1080
#sift count:	1850

84: 0085a
image_size:	1920x1080
#sift count:	1887

85: 0086a
image_size:	1920x1080
#sift count:	1986

86: 0087a
image_size:	1920x1080
#sift count:	1992

87: 0088a
image_size:	1920x1080
#sift count:	2077

88: 0089a
image_size:	1920x1080
#sift count:	2071

89: 0090a
image_size:	1920x1080
#sift count:	2048

90: 0091a
image_size:	1920x1080
#sift count:	2076

91: 0092a
image_size:	1920x1080
#sift count:	2092

92: 0093a
image_size:	1920x1080
#sift count:	2119

93: 0094a
image_size:	1920x1080
#sift count:	2090

94: 0095a
image_size:	1920x1080
#sift count:	2056

95: 0096a
image_size:	1920x1080
#sift count:	2074

**************************************
Change the number of pixel-loaded images by 
modifying param_visual_data_budget in nv.ini
Use the PAUSE button to skip the pixel loading
**************************************
Loading image pixel data ...done in 3s

Compute Missing Pairwise Matching, begin...
0 pairs to compute match
----------------------------------------------------------------
Compute Missing Pairwise Matching, finished
Totally 0.000 seconds used


Run full 3D reconstruction, begin...
1509 pairs have two-view models
1819 pairs have fundamental matrices
Initialize with 0035a and 0042a
30 3D points initialized from two images
PBA library version = 105
PBA: 30 3D pts, 2 cams and 60 projs...
PBA: 0.488 -> 0.249 (6 LMs in 0.95sec)
Focal Length : [2304.000]->[2286.120]
Focal Length : [2304.000]->[2355.721]

#############################
#3: [0043a] sees 38 (+1002) 3D points
Estimated Focal Length [1946][1.01N]
# 25 projs (0 pts and 0 merges)
PBA: 30 3D pts, 3 cams and 85 projs...
PBA: 5.762 -> 0.467 (23 LMs in 0.09sec)

**************************************
#3/3:  25 projs and 0 pts added.
PBA: 30 3D pts, 3 cams and 85 projs...
PBA: 0.467 -> 0.467 (10 LMs in 0.02sec)
PBA: 30 3D pts, 3 cams and 85 projs...
PBA: 0.467 -> 0.467 (10 LMs in 0.02sec)
Focal Length : [1945.655]->[2197.849]
Radial Distortion : [0.250 -> 45]

#############################
#4: [0040a] sees 58 (+945) 3D points
Estimated Focal Length [2149][1.12N]
# 23 projs (0 pts and 0 merges)
PBA: 30 3D pts, 4 cams and 108 projs...
PBA: 0.572 -> 0.405 (31 LMs in 0.40sec)
Radial Distortion : [0.177 -> 34]
# 2429 projs (945 pts and 0 merges)
PBA: 975 3D pts, 4 cams and 2537 projs...
PBA: 1.047 -> 0.351 (5 LMs in 0.02sec)
Focal Length : [2149.479]->[2143.369]
Radial Distortion : [0.201 -> 38]

#############################
#5: [0041a] sees 1851 (+654) 3D points
Estimated Focal Length [2056][1.07N]
# 1424 projs (292 pts and 3 merges)
PBA: 1263 3D pts, 5 cams and 3959 projs...
PBA: 0.985 -> 0.270 (31 LMs in 0.24sec)
#points w/ large errors:	1

**************************************
#5/5:  1612 projs and 293 pts added.
PBA: 1263 3D pts, 5 cams and 4145 projs...
PBA: 0.285 -> 0.282 (15 LMs in 0.08sec)
PBA: 1263 3D pts, 5 cams and 4145 projs...
PBA: 0.282 -> 0.282 (11 LMs in 0.06sec)
Focal Length : [2055.592]->[2123.093]
Radial Distortion : [0.399 -> 78]

#############################
#6: [0044a] sees 2076 (+655) 3D points
Estimated Focal Length [1898][0.99N]
# 1707 projs (411 pts and 4 merges)
PBA: 1662 3D pts, 6 cams and 5836 projs...
PBA: 1.064 -> 0.306 (51 LMs in 0.25sec)
#points w/ large errors:	4
Radial Distortion : [0.238 -> 51]
# 5 projs (2 pts and 0 merges)
Focal Length : [1897.647]->[2027.378]
Radial Distortion : [0.238 -> 51]

#############################
#7: [0039a] sees 2570 (+530) 3D points
Estimated Focal Length [1950][1.02N]
# 1598 projs (382 pts and 66 merges)
PBA: 1965 3D pts, 7 cams and 7402 projs...
PBA: 0.727 -> 0.412 (16 LMs in 0.10sec)
#points w/ large errors:	7

**************************************
#7/7:  1688 projs and 387 pts added.
PBA: 1964 3D pts, 7 cams and 7470 projs...
PBA: 0.392 -> 0.385 (14 LMs in 0.09sec)
PBA: 1964 3D pts, 7 cams and 7470 projs...
PBA: 0.385 -> 0.385 (11 LMs in 0.02sec)
Focal Length : [1950.103]->[2026.977]
Radial Distortion : [0.547 -> 117]

#############################
#8: [0038a] sees 2882 (+470) 3D points
Estimated Focal Length [1865][0.97N]
# 1765 projs (408 pts and 72 merges)
PBA: 2273 3D pts, 8 cams and 9181 projs...
PBA: 1.285 -> 0.431 (24 LMs in 0.09sec)
#points w/ large errors:	5
Radial Distortion : [0.332 -> 72]
# 20 projs (1 pts and 0 merges)
Focal Length : [1865.482]->[2006.397]
Radial Distortion : [0.332 -> 72]

#############################
#9: [0045a] sees 3029 (+439) 3D points
Estimated Focal Length [2000][1.04N]
# 1418 projs (211 pts and 7 merges)
PBA: 2471 3D pts, 9 cams and 10605 projs...
PBA: 1.164 -> 0.518 (22 LMs in 0.13sec)
#points w/ large errors:	13

**************************************
#9/9:  1458 projs and 222 pts added.
PBA: 2468 3D pts, 9 cams and 10572 projs...
PBA: 0.441 -> 0.441 (14 LMs in 0.08sec)
PBA: 2468 3D pts, 9 cams and 10572 projs...
PBA: 0.441 -> 0.441 (13 LMs in 0.07sec)
Focal Length : [1999.880]->[1849.559]
Radial Distortion : [0.095 -> 24]

#############################
#10: [0046a] sees 3294 (+421) 3D points
Estimated Focal Length [1768][0.92N]
# 1338 projs (189 pts and 10 merges)
PBA: 2636 3D pts, 10 cams and 11888 projs...
PBA: 0.767 -> 0.522 (100 LMs in 2.10sec)
#points w/ large errors:	7
Radial Distortion : [0.061 -> 16]
# 103 projs (38 pts and 0 merges)
PBA: 2668 3D pts, 10 cams and 11959 projs...
PBA: 0.515 -> 0.492 (5 LMs in 0.05sec)
Focal Length : [1768.065]->[1821.422]
Radial Distortion : [0.064 -> 17]

#############################
#11: [0047a] sees 3630 (+380) 3D points
Estimated Focal Length [1801][0.94N]
# 1470 projs (226 pts and 8 merges)
PBA: 2879 3D pts, 11 cams and 13415 projs...
PBA: 0.574 -> 0.522 (12 LMs in 0.08sec)
#points w/ large errors:	8
Focal Length : [1800.739]->[1803.982]
Radial Distortion : [0.018 -> 4]

#############################
#12: [0036a] sees 2276 (+488) 3D points
Estimated Focal Length [1923][1.00N]
# 1132 projs (175 pts and 5 merges)
PBA: 3037 3D pts, 12 cams and 14482 projs...
PBA: 0.780 -> 0.490 (21 LMs in 0.13sec)
#points w/ large errors:	19

**************************************
#12/12:  1403 projs and 218 pts added.
PBA: 3057 3D pts, 12 cams and 14604 projs...
PBA: 0.479 -> 0.454 (16 LMs in 0.07sec)
PBA: 3057 3D pts, 12 cams and 14604 projs...
PBA: 0.454 -> 0.450 (15 LMs in 0.07sec)
Focal Length : [1922.631]->[1912.109]
Radial Distortion : [0.016 -> 3]

#############################
#13: [0037a] sees 4046 (+355) 3D points
Estimated Focal Length [1892][0.99N]
# 1683 projs (253 pts and 46 merges)
PBA: 3251 3D pts, 13 cams and 16261 projs...
PBA: 0.554 -> 0.392 (91 LMs in 0.64sec)
#points w/ large errors:	4
Focal Length : [1892.143]->[2344.808]
Radial Distortion : [-0.408 -> -66]

#############################
#14: [0048a] sees 3852 (+349) 3D points
Estimated Focal Length [2177][1.13N]
# 1445 projs (221 pts and 5 merges)
PBA: 3450 3D pts, 14 cams and 17664 projs...
PBA: 0.639 -> 0.432 (19 LMs in 0.10sec)
#points w/ large errors:	15
Focal Length : [2177.149]->[2263.995]
Radial Distortion : [-0.310 -> -54]

#############################
#15: [0034a] sees 2169 (+456) 3D points
Estimated Focal Length [2523][1.31N]
# 1436 projs (319 pts and 5 merges)
PBA: 3742 3D pts, 15 cams and 18990 projs...
PBA: 0.547 -> 0.400 (18 LMs in 0.14sec)
#points w/ large errors:	9
Focal Length : [2523.472]->[2362.394]
Radial Distortion : [-0.661 -> -105]

#############################
#16: [0049a] sees 4078 (+311) 3D points
Estimated Focal Length [3236][1.69N]
# 1577 projs (268 pts and 11 merges)
PBA: 3981 3D pts, 16 cams and 20475 projs...
PBA: 0.700 -> 0.396 (40 LMs in 0.15sec)
#points w/ large errors:	11

**************************************
#16/16:  1816 projs and 329 pts added.
PBA: 4020 3D pts, 16 cams and 20635 projs...
PBA: 0.448 -> 0.406 (21 LMs in 0.29sec)
PBA: 4020 3D pts, 16 cams and 20635 projs...
PBA: 0.406 -> 0.406 (10 LMs in 0.09sec)
Focal Length : [3236.226]->[2359.158]
Radial Distortion : [-0.443 -> -71]

#############################
#17: [0050a] sees 4517 (+287) 3D points
Estimated Focal Length [2716][1.41N]
# 1370 projs (157 pts and 7 merges)
PBA: 4154 3D pts, 17 cams and 21973 projs...
PBA: 0.578 -> 0.427 (54 LMs in 0.34sec)
#points w/ large errors:	14
Focal Length : [2715.565]->[2535.142]
Radial Distortion : [-0.571 -> -79]

#############################
#18: [0051a] sees 4565 (+300) 3D points
Estimated Focal Length [2324][1.21N]
# 1645 projs (302 pts and 5 merges)
PBA: 4433 3D pts, 18 cams and 23546 projs...
PBA: 0.838 -> 0.406 (32 LMs in 0.16sec)
#points w/ large errors:	7
Focal Length : [2323.621]->[2356.513]
Radial Distortion : [-0.357 -> -57]

#############################
#19: [0052a] sees 4925 (+240) 3D points
Estimated Focal Length [2042][1.06N]
# 1428 projs (152 pts and 5 merges)
PBA: 4568 3D pts, 19 cams and 24923 projs...
PBA: 0.661 -> 0.411 (29 LMs in 0.34sec)
#points w/ large errors:	7
Focal Length : [2042.058]->[2247.116]
Radial Distortion : [-0.351 -> -62]

#############################
#20: [0053a] sees 5092 (+251) 3D points
Estimated Focal Length [3491][1.82N]
# 1611 projs (263 pts and 9 merges)
PBA: 3928 3D pts, 20 cams and 24721 projs...
PBA: 0.753 -> 0.469 (22 LMs in 0.28sec)
#points w/ large errors:	5
Focal Length : [3491.149]->[2560.934]
Radial Distortion : [-0.337 -> -46]

#############################
#21: [0054a] sees 5278 (+231) 3D points
Estimated Focal Length [2368][1.23N]
# 1378 projs (142 pts and 8 merges)
SKIP: 0 cams, 3 points, 54 projs
PBA: 4916 3D pts, 20 cams and 27789 projs...
PBA: 0.527 -> 0.426 (5 LMs in 0.03sec)
#points w/ large errors:	4

**************************************
#21/21:  1499 projs and 160 pts added.
PBA: 4929 3D pts, 21 cams and 27894 projs...
PBA: 0.477 -> 0.455 (20 LMs in 0.13sec)
PBA: 4929 3D pts, 21 cams and 27894 projs...
PBA: 0.455 -> 0.454 (19 LMs in 0.04sec)
#points w/ large errors:	1
Focal Length : [2367.590]->[2499.412]
Radial Distortion : [-0.231 -> -33]

#############################
#22: [0055a] sees 5389 (+261) 3D points
Estimated Focal Length [2991][1.56N]
# 1554 projs (238 pts and 4 merges)
SKIP: 0 cams, 1 points, 18 projs
PBA: 5150 3D pts, 20 cams and 29420 projs...
PBA: 0.505 -> 0.457 (5 LMs in 0.05sec)
#points w/ large errors:	16
Focal Length : [2991.118]->[2875.975]
Radial Distortion : [-0.200 -> -22]

#############################
#23: [0056a] sees 5464 (+223) 3D points
Estimated Focal Length [2300][1.20N]
# 1431 projs (173 pts and 7 merges)
SKIP: 0 cams, 1 points, 115 projs
PBA: 5289 3D pts, 20 cams and 30730 projs...
PBA: 0.671 -> 0.547 (5 LMs in 0.03sec)
#points w/ large errors:	4
Focal Length : [2299.656]->[2297.557]
Radial Distortion : [-0.112 -> -19]

#############################
#24: [0057a] sees 5472 (+286) 3D points
Estimated Focal Length [2463][1.28N]
# 1311 projs (127 pts and 6 merges)
SKIP: 0 cams, 25 points, 90 projs
PBA: 5374 3D pts, 20 cams and 31949 projs...
PBA: 0.795 -> 0.637 (5 LMs in 0.08sec)
#points w/ large errors:	15
Focal Length : [2462.980]->[2457.877]
Radial Distortion : [-0.140 -> -21]

#############################
#25: [0058a] sees 5330 (+375) 3D points
Estimated Focal Length [2418][1.26N]
# 1398 projs (179 pts and 6 merges)
SKIP: 0 cams, 79 points, 311 projs
PBA: 5471 3D pts, 20 cams and 33083 projs...
PBA: 0.995 -> 0.455 (5 LMs in 0.04sec)
#points w/ large errors:	6
Focal Length : [2417.546]->[2465.451]
Radial Distortion : [-0.250 -> -37]

#############################
#26: [0059a] sees 4996 (+394) 3D points
Estimated Focal Length [2783][1.45N]
# 1677 projs (353 pts and 9 merges)
PBA: 4770 3D pts, 26 cams and 32688 projs...
PBA: 0.559 -> 0.467 (65 LMs in 0.60sec)
#points w/ large errors:	7
Focal Length : [2782.630]->[2533.483]
Radial Distortion : [-0.315 -> -44]

#############################
#27: [0060a] sees 5082 (+325) 3D points
Estimated Focal Length [2549][1.33N]
# 1436 projs (187 pts and 9 merges)
SKIP: 0 cams, 276 points, 868 projs
PBA: 5760 3D pts, 20 cams and 35464 projs...
PBA: 0.534 -> 0.430 (5 LMs in 0.03sec)
#points w/ large errors:	6

**************************************
#27/27:  1723 projs and 238 pts added.
PBA: 6070 3D pts, 27 cams and 36483 projs...
PBA: 0.431 -> 0.423 (44 LMs in 0.12sec)
PBA: 6070 3D pts, 27 cams and 36483 projs...
PBA: 0.423 -> 0.423 (14 LMs in 0.10sec)
Focal Length : [2548.979]->[2531.062]
Radial Distortion : [-0.307 -> -43]

#############################
#28: [0061a] sees 4609 (+374) 3D points
Estimated Focal Length [2535][1.32N]
# 1614 projs (287 pts and 6 merges)
SKIP: 0 cams, 407 points, 1259 projs
PBA: 5930 3D pts, 20 cams and 36818 projs...
PBA: 0.509 -> 0.466 (5 LMs in 0.10sec)
#points w/ large errors:	21
Focal Length : [2535.246]->[2548.424]
Radial Distortion : [-0.287 -> -40]

#############################
#29: [0062a] sees 4404 (+326) 3D points
Estimated Focal Length [2734][1.42N]
# 1584 projs (271 pts and 5 merges)
SKIP: 0 cams, 528 points, 1830 projs
PBA: 6053 3D pts, 20 cams and 37827 projs...
PBA: 0.493 -> 0.446 (5 LMs in 0.02sec)
#points w/ large errors:	7
Focal Length : [2734.007]->[2623.479]
Radial Distortion : [-0.253 -> -33]

#############################
#30: [0063a] sees 4134 (+326) 3D points
Estimated Focal Length [2587][1.35N]
# 1319 projs (125 pts and 7 merges)
SKIP: 0 cams, 644 points, 2227 projs
PBA: 6047 3D pts, 20 cams and 38587 projs...
PBA: 0.528 -> 0.466 (5 LMs in 0.07sec)
#points w/ large errors:	12
Focal Length : [2586.729]->[2575.927]
Radial Distortion : [-0.298 -> -40]

#############################
#31: [0064a] sees 3538 (+424) 3D points
Estimated Focal Length [2652][1.38N]
# 1848 projs (404 pts and 4 merges)
SKIP: 0 cams, 765 points, 2799 projs
PBA: 6302 3D pts, 20 cams and 39766 projs...
PBA: 0.493 -> 0.445 (5 LMs in 0.03sec)
#points w/ large errors:	12
Focal Length : [2651.715]->[2611.944]
Radial Distortion : [-0.292 -> -38]

#############################
#32: [0065a] sees 3401 (+298) 3D points
Estimated Focal Length [2518][1.31N]
# 1355 projs (135 pts and 6 merges)
PBA: 5750 3D pts, 32 cams and 40828 projs...
PBA: 0.548 -> 0.445 (25 LMs in 0.13sec)
#points w/ large errors:	12
Focal Length : [2518.346]->[2564.285]
Radial Distortion : [-0.382 -> -52]

#############################
#33: [0066a] sees 2947 (+353) 3D points
Estimated Focal Length [2875][1.50N]
# 1646 projs (307 pts and 4 merges)
SKIP: 0 cams, 1310 points, 5166 projs
PBA: 6155 3D pts, 20 cams and 40158 projs...
PBA: 0.536 -> 0.468 (5 LMs in 0.02sec)
#points w/ large errors:	9
Focal Length : [2875.007]->[2821.682]
Radial Distortion : [-0.088 -> -10]

#############################
#34: [0067a] sees 2953 (+277) 3D points
Estimated Focal Length [2944][1.53N]
# 1496 projs (237 pts and 3 merges)
SKIP: 0 cams, 1433 points, 5809 projs
PBA: 6253 3D pts, 20 cams and 40908 projs...
PBA: 0.542 -> 0.462 (5 LMs in 0.02sec)
#points w/ large errors:	8

**************************************
#34/34:  1905 projs and 304 pts added.
PBA: 7728 3D pts, 34 cams and 46915 projs...
PBA: 0.501 -> 0.474 (18 LMs in 0.16sec)
#points w/ large errors:	1
PBA: 7727 3D pts, 34 cams and 46908 projs...
PBA: 0.467 -> 0.466 (14 LMs in 0.08sec)
Focal Length : [2944.277]->[2578.663]
Radial Distortion : [-0.337 -> -45]

#############################
#35: [0068a] sees 2928 (+294) 3D points
Estimated Focal Length [2358][1.23N]
# 1389 projs (207 pts and 2 merges)
SKIP: 0 cams, 2302 points, 10017 projs
PBA: 5625 3D pts, 20 cams and 38272 projs...
PBA: 0.643 -> 0.539 (5 LMs in 0.02sec)
#points w/ large errors:	25
Focal Length : [2358.196]->[2473.015]
Radial Distortion : [-0.479 -> -70]

#############################
#36: [0069a] sees 3027 (+296) 3D points
Estimated Focal Length [2825][1.47N]
# 1495 projs (251 pts and 2 merges)
SKIP: 0 cams, 2459 points, 11010 projs
PBA: 5688 3D pts, 20 cams and 38768 projs...
PBA: 0.636 -> 0.515 (5 LMs in 0.10sec)
#points w/ large errors:	14
Focal Length : [2824.563]->[2550.284]
Radial Distortion : [-0.385 -> -53]

#############################
#37: [0070a] sees 3266 (+263) 3D points
Estimated Focal Length [3143][1.64N]
# 1385 projs (214 pts and 1 merges)
SKIP: 0 cams, 2590 points, 11671 projs
PBA: 5754 3D pts, 20 cams and 39313 projs...
PBA: 0.712 -> 0.653 (5 LMs in 0.03sec)
#points w/ large errors:	10
Focal Length : [3143.427]->[3140.153]
Radial Distortion : [0.008 -> 0]

#############################
#38: [0071a] sees 3682 (+238) 3D points
Estimated Focal Length [2874][1.50N]
# 1136 projs (80 pts and 4 merges)
SKIP: 0 cams, 2769 points, 12525 projs
PBA: 5640 3D pts, 20 cams and 39435 projs...
PBA: 0.793 -> 0.499 (5 LMs in 0.02sec)
#points w/ large errors:	8
Focal Length : [2874.422]->[2570.580]
Radial Distortion : [-0.442 -> -60]

#############################
#39: [0072a] sees 3870 (+279) 3D points
Estimated Focal Length [2535][1.32N]
# 1345 projs (215 pts and 2 merges)
PBA: 6898 3D pts, 39 cams and 49660 projs...
PBA: 0.503 -> 0.454 (16 LMs in 0.08sec)
#points w/ large errors:	10
Focal Length : [2535.238]->[2603.178]
Radial Distortion : [-0.434 -> -57]

#############################
#40: [0033a] sees 2410 (+294) 3D points
Estimated Focal Length [2699][1.41N]
# 1306 projs (216 pts and 5 merges)
SKIP: 0 cams, 2057 points, 8309 projs
PBA: 6749 3D pts, 20 cams and 46075 projs...
PBA: 0.483 -> 0.457 (5 LMs in 0.12sec)
#points w/ large errors:	23
Focal Length : [2699.468]->[2569.853]
Radial Distortion : [-0.279 -> -38]

#############################
#41: [0073a] sees 4285 (+211) 3D points
Estimated Focal Length [2603][1.36N]
# 1251 projs (156 pts and 2 merges)
SKIP: 0 cams, 2601 points, 11847 projs
PBA: 6330 3D pts, 20 cams and 43600 projs...
PBA: 0.446 -> 0.426 (5 LMs in 0.04sec)
#points w/ large errors:	9
Focal Length : [2602.711]->[2573.931]
Radial Distortion : [-0.440 -> -59]

#############################
#42: [0032a] sees 2443 (+291) 3D points
Estimated Focal Length [2729][1.42N]
# 1236 projs (214 pts and 2 merges)
SKIP: 0 cams, 2430 points, 9148 projs
PBA: 6701 3D pts, 20 cams and 47263 projs...
PBA: 0.458 -> 0.409 (5 LMs in 0.11sec)
#points w/ large errors:	4
Focal Length : [2728.704]->[2652.192]
Radial Distortion : [-0.235 -> -30]

#############################
#43: [0074a] sees 4655 (+173) 3D points
Estimated Focal Length [2998][1.56N]
# 1278 projs (165 pts and 4 merges)
SKIP: 0 cams, 2937 points, 13607 projs
PBA: 6347 3D pts, 20 cams and 43978 projs...
PBA: 0.476 -> 0.421 (5 LMs in 0.02sec)
#points w/ large errors:	14

**************************************
#43/43:  1965 projs and 293 pts added.
PBA: 9389 3D pts, 43 cams and 58094 projs...
PBA: 0.449 -> 0.423 (12 LMs in 0.11sec)
#points w/ large errors:	3
PBA: 9386 3D pts, 43 cams and 58082 projs...
PBA: 0.419 -> 0.419 (19 LMs in 0.14sec)
Focal Length : [2997.842]->[2629.520]
Radial Distortion : [-0.368 -> -48]

#############################
#44: [0031a] sees 2552 (+277) 3D points
Estimated Focal Length [2516][1.31N]
# 1025 projs (130 pts and 1 merges)
SKIP: 0 cams, 3918 points, 19424 projs
PBA: 5594 3D pts, 20 cams and 39677 projs...
PBA: 0.556 -> 0.436 (5 LMs in 0.14sec)
#points w/ large errors:	1
Focal Length : [2516.333]->[2565.462]
Radial Distortion : [-0.300 -> -41]

#############################
#45: [0075a] sees 5033 (+149) 3D points
Estimated Focal Length [2706][1.41N]
# 1168 projs (117 pts and 2 merges)
SKIP: 0 cams, 3435 points, 16238 projs
PBA: 6187 3D pts, 20 cams and 44025 projs...
PBA: 0.542 -> 0.520 (5 LMs in 0.03sec)
#points w/ large errors:	50
Focal Length : [2705.683]->[2600.561]
Radial Distortion : [-0.343 -> -45]

#############################
#46: [0076a] sees 5522 (+195) 3D points
Estimated Focal Length [2295][1.20N]
# 1317 projs (186 pts and 3 merges)
SKIP: 0 cams, 4278 points, 21657 projs
PBA: 5474 3D pts, 20 cams and 39912 projs...
PBA: 0.485 -> 0.435 (5 LMs in 0.02sec)
#points w/ large errors:	1
Focal Length : [2294.555]->[2511.891]
Radial Distortion : [-0.367 -> -52]

#############################
#47: [0077a] sees 5968 (+177) 3D points
Estimated Focal Length [2443][1.27N]
# 1287 projs (141 pts and 1 merges)
SKIP: 0 cams, 4486 points, 22741 projs
PBA: 5401 3D pts, 20 cams and 39792 projs...
PBA: 0.453 -> 0.424 (5 LMs in 0.01sec)
Focal Length : [2442.689]->[2439.119]
Radial Distortion : [-0.309 -> -46]

#############################
#48: [0078a] sees 6436 (+149) 3D points
Estimated Focal Length [2692][1.40N]
# 1293 projs (135 pts and 2 merges)
PBA: 7971 3D pts, 48 cams and 59718 projs...
PBA: 0.439 -> 0.418 (45 LMs in 0.19sec)
#points w/ large errors:	5
Focal Length : [2691.695]->[2516.731]
Radial Distortion : [-0.198 -> -28]

#############################
#49: [0079a] sees 6552 (+147) 3D points
Estimated Focal Length [2078][1.08N]
# 1272 projs (126 pts and 1 merges)
SKIP: 0 cams, 5010 points, 25947 projs
PBA: 5117 3D pts, 20 cams and 39121 projs...
PBA: 0.537 -> 0.430 (5 LMs in 0.02sec)
#points w/ large errors:	1
Focal Length : [2078.252]->[2497.131]
Radial Distortion : [-0.203 -> -29]

#############################
#50: [0080a] sees 6950 (+181) 3D points
Estimated Focal Length [2268][1.18N]
# 1302 projs (135 pts and 4 merges)
SKIP: 0 cams, 5268 points, 27704 projs
PBA: 4983 3D pts, 20 cams and 38612 projs...
PBA: 0.535 -> 0.463 (5 LMs in 0.01sec)
#points w/ large errors:	5
Focal Length : [2268.444]->[2293.164]
Radial Distortion : [-0.273 -> -47]

#############################
#51: [0081a] sees 6838 (+258) 3D points
Estimated Focal Length [2524][1.31N]
# 1129 projs (62 pts and 4 merges)
SKIP: 0 cams, 5545 points, 29582 projs
PBA: 4759 3D pts, 20 cams and 37853 projs...
PBA: 0.513 -> 0.489 (5 LMs in 0.11sec)
#points w/ large errors:	5
Focal Length : [2524.439]->[2521.917]
Radial Distortion : [-0.048 -> -7]

#############################
